TestCase	Operationalization	ModelSize	TGG	ExecutionTime	InitTime	ExecutionRank	InitRank
0311-0428	BWD_OPT	2000	BlockDiagramCodeAdapter	3.329664512E9	2.165843184E9	7	1
0309-1931	BWD_OPT	2000	BlockDiagramCodeAdapter	2.587431214E9	2.179751578E9	1	2
0311-2111	BWD_OPT	2000	BlockDiagramCodeAdapter	3.299137375E9	2.188171708E9	6	3
0306-0227	BWD_OPT	2000	BlockDiagramCodeAdapter	3.285241383E9	2.213633937E9	5	4
0310-0436	BWD_OPT	2000	BlockDiagramCodeAdapter	2.881284735E9	2.232964313E9	3	5
0303-0631	BWD_OPT	2000	BlockDiagramCodeAdapter	3.209123674E9	2.252890384E9	4	6
0311-0003	BWD_OPT	2000	BlockDiagramCodeAdapter	3.550634952E9	2.259665402E9	8	7
0308-0220	BWD_OPT	2000	BlockDiagramCodeAdapter	2.838137667E9	2.269708832E9	2	8
0303-0631	FWD_OPT	1000	FamiliesToPersons_V1	1.46821861E9	1.559610151E9	7	1
0311-0003	FWD_OPT	1000	FamiliesToPersons_V1	1.39354032E9	1.588785534E9	2	2
0310-0436	FWD_OPT	1000	FamiliesToPersons_V1	1.428163771E9	1.612006531E9	3	3
0308-0220	FWD_OPT	1000	FamiliesToPersons_V1	1.38457624E9	1.617440486E9	1	4
0311-2111	FWD_OPT	1000	FamiliesToPersons_V1	1.43423148E9	1.62798425E9	5	5
0306-0227	FWD_OPT	1000	FamiliesToPersons_V1	1.553064345E9	1.629085836E9	8	6
0309-1931	FWD_OPT	1000	FamiliesToPersons_V1	1.431377018E9	1.638978312E9	4	7
0311-0428	FWD_OPT	1000	FamiliesToPersons_V1	1.454744694E9	1.686690381E9	6	8
0308-0220	CO	2000	FamiliesToPersons_V1	1.875101991E9	1.961585995E9	1	1
0309-1931	CO	2000	FamiliesToPersons_V1	1.95678836E9	1.965767408E9	6	2
0311-0428	CO	2000	FamiliesToPersons_V1	1.926425008E9	1.968925063E9	4	3
0303-0631	CO	2000	FamiliesToPersons_V1	2.059728178E9	2.023423695E9	8	4
0310-0436	CO	2000	FamiliesToPersons_V1	1.980580249E9	2.04344299E9	7	5
0311-2111	CO	2000	FamiliesToPersons_V1	1.876472133E9	2.045301919E9	2	6
0311-0003	CO	2000	FamiliesToPersons_V1	1.937572591E9	2.059277451E9	5	7
0306-0227	CO	2000	FamiliesToPersons_V1	1.88185691E9	2.101901094E9	3	8
0311-2111	CC	2000	FeatureModelConciseToSafe	4.19063018E9	2.01120959E9	2	1
0311-0428	CC	2000	FeatureModelConciseToSafe	4.425861385E9	2.036240765E9	3	2
0311-0003	CC	2000	FeatureModelConciseToSafe	4.505528035E9	2.062119512E9	5	3
0308-0220	CC	2000	FeatureModelConciseToSafe	3.306889966E9	2.065955396E9	1	4
0306-0227	CC	2000	FeatureModelConciseToSafe	4.590144986E9	2.108818514E9	6	5
0310-0436	CC	2000	FeatureModelConciseToSafe	4.452358492E9	2.134295284E9	4	6
0303-0631	CC	2000	FeatureModelConciseToSafe	5.159364517E9	2.138974891E9	8	7
0309-1931	CC	2000	FeatureModelConciseToSafe	4.628883137E9	2.172020797E9	7	8
0311-0428	CO	4000	CompanyToIT	3.370384752E9	2.271299633E9	1	1
0308-0220	CO	4000	CompanyToIT	3.528996632E9	2.280098219E9	2	2
0311-0003	CO	4000	CompanyToIT	3.666824179E9	2.295786857E9	6	3
0309-1931	CO	4000	CompanyToIT	3.532168399E9	2.31697616E9	3	4
0310-0436	CO	4000	CompanyToIT	3.554161656E9	2.345471177E9	4	5
0311-2111	CO	4000	CompanyToIT	3.617301504E9	2.3545721E9	5	6
0306-0227	CO	4000	CompanyToIT	4.149216317E9	2.358120186E9	7	7
0303-0631	CO	4000	CompanyToIT	4.217288077E9	2.393775947E9	8	8
0303-0631	FWD	8000	BlockDiagramCodeAdapter	1.5E11	3.266013639E9	8	1
0311-0428	FWD	8000	BlockDiagramCodeAdapter	1.5E11	3.28481888E9	8	2
0311-2111	FWD	8000	BlockDiagramCodeAdapter	1.5E11	3.33647032E9	8	3
0309-1931	FWD	8000	BlockDiagramCodeAdapter	1.5E11	1.5E11	8	8
0306-0227	FWD	8000	BlockDiagramCodeAdapter	1.5E11	1.5E11	8	8
0308-0220	FWD	8000	BlockDiagramCodeAdapter	1.5E11	1.5E11	8	8
0310-0436	FWD	8000	BlockDiagramCodeAdapter	1.5E11	1.5E11	8	8
0311-0003	FWD	8000	BlockDiagramCodeAdapter	1.5E11	1.5E11	8	8
0311-0428	INCREMENTAL_FWD	1000	ProcessCodeAdapter	1.7494967E7	3.512002426E9	2	1
0303-0631	INCREMENTAL_FWD	1000	ProcessCodeAdapter	1.7986747E7	3.554610673E9	3	2
0309-1931	INCREMENTAL_FWD	1000	ProcessCodeAdapter	1.645111E7	3.574857897E9	1	3
0306-0227	INCREMENTAL_FWD	1000	ProcessCodeAdapter	2.0540154E7	3.597926228E9	6	4
0311-2111	INCREMENTAL_FWD	1000	ProcessCodeAdapter	2.3289846E7	3.605790859E9	8	5
0308-0220	INCREMENTAL_FWD	1000	ProcessCodeAdapter	2.1870099E7	3.633905281E9	7	6
0310-0436	INCREMENTAL_FWD	1000	ProcessCodeAdapter	1.9949591E7	3.638036233E9	5	7
0311-0003	INCREMENTAL_FWD	1000	ProcessCodeAdapter	1.9020339E7	3.643407325E9	4	8
0306-0227	MODELGEN	1000	VHDLTGGCodeAdapter	1.508896087E9	3.348390639E9	7	1
0311-2111	MODELGEN	1000	VHDLTGGCodeAdapter	1.297510653E9	3.383154782E9	2	2
0308-0220	MODELGEN	1000	VHDLTGGCodeAdapter	1.343095666E9	3.424305222E9	4	3
0303-0631	MODELGEN	1000	VHDLTGGCodeAdapter	1.53528714E9	3.437310451E9	8	4
0311-0428	MODELGEN	1000	VHDLTGGCodeAdapter	1.225289979E9	3.48940321E9	1	5
0311-0003	MODELGEN	1000	VHDLTGGCodeAdapter	1.321979059E9	3.545706461E9	3	6
0309-1931	MODELGEN	1000	VHDLTGGCodeAdapter	1.430954943E9	3.569650161E9	6	7
0310-0436	MODELGEN	1000	VHDLTGGCodeAdapter	1.387345603E9	3.661206341E9	5	8
0303-0631	FWD_OPT	4000	BlockCodeAdapter	2.7878789058E10	2.742707116E9	7	1
0311-2111	FWD_OPT	4000	BlockCodeAdapter	1.4604388645E10	2.751447116E9	4	2
0311-0428	FWD_OPT	4000	BlockCodeAdapter	1.8736183548E10	2.766795784E9	5	3
0306-0227	FWD_OPT	4000	BlockCodeAdapter	2.3255926591E10	2.77539894E9	6	4
0310-0436	FWD_OPT	4000	BlockCodeAdapter	6.927977322E9	2.82045497E9	1	5
0311-0003	FWD_OPT	4000	BlockCodeAdapter	1.3823190976E10	2.879779888E9	3	6
0309-1931	FWD_OPT	4000	BlockCodeAdapter	8.240938847E9	2.896868174E9	2	7
0308-0220	FWD_OPT	4000	BlockCodeAdapter	3.1297774503E10	2.966449486E9	8	8
0308-0220	BWD_OPT	500	CompanyToIT	1.047405026E9	1.696222787E9	6	1
0309-1931	BWD_OPT	500	CompanyToIT	1.024799396E9	1.772946455E9	3	2
